3010365708,"Many network functions executed in modern datacenters, e.g., load balancing, application-level QoS, and congestion control, exhibit three common properties at the data-plane: they need to access an..."
3010365629,"Abstract   This paper aims to present insights about distributed photovoltaic (PV) generation technology diffusion in the household market. A quantitative approach using the Bass model to project distributed PV systems adoption is chosen to base and conduct the analysis. Since distributed PV in Brazil still presents a very small market penetration, historical data is still insufficient to obtain robust estimates. Therefore, parameters from PV markets of other countries and parameters from the solar water heaters (SWH) market in Brazil are used in the analysis. The latter approach is carefully justified. A comparative analysis of distributed PV and SWH market features indicates that SWH diffusion parameters lead to a better representation of innovators behavior for residential PV adoption in Brazil than the parameters borrowed from other countries, which are used by the official projections performed by the Brazilian regulator of the electricity sector. Moreover, we propose a different approach for estimating the final potential market. We discuss the limitations of the official projections, since results indicate that official projections overestimated the diffusion of residential PV market in the early years. Finally, it is suggested that inaccurate signals could be given to stakeholders."
3010365659,"Penelitian ini dilakukan di Desa Srigading, Kecamatan Sanden, Kabupaten Bantul. Tujuan dari penelitian yaitu untuk menganalisis risiko yang di hadapi petani bawang merah dilahan pasir khususnya di Desa Srigading Sanden Bantul dan sikap petani terhadapat risiko harga. Hipotesis penelitian yang diajukan adalah diduga risiko pendapatan petani bawang merah dilahan pasir yang terjadi di Desa Srigading Sanden Bantul yaitu tergolong besar. Metode penentuan daerah penelitian dilakukan secara  Purposive sampling  sedangkan dalam metode pengambilan sampel menggunakan simple  random sampling  dengan jumlah 30 responden. Metode yang digunakan adalah dengan pengujian hipotesis menggunakan uji t. Hasil penelitian menunjukkan bahwa pendapatan petani bawang merah di Desa Srigading Sanden Bantul yaitu sebesar Rp.73.989.826,92 perhektar. Risiko pendapatan petani bawang merah di lahan pasir yang terjadi Di Desa Srigading Sanden Bantul yaitu sebesar 0,5717 % atau 57,17. Sikap petani terhadap risiko harga yaitu menerima harga ≥13.000 (63,33)  dan  menerima harga <13.000 (36,67 %). Hasil uji t risiko pendapatan petani bawang merah di lahan pasir yang terjadi di Desa Srigading Sanden Bantul menunjukkan bahwa t-hitung sebesar 3.1821 dan t-tabel 1,699 dengan  = 0,05. Risiko pendapatan petani bawang merah di lahan pasir yang terjadi di Desa Srigading Sanden Bantul yiatu besar."
3010365661,"Abstract. FFCam is a variable star near the North celestial pole with hydrogen linesin emission. Its optical variability of ∼0.3 mag was discovered by HIPPARCOS. Thespectral type assigned to the star in SIMBAD is B9, but its position coincides witha ROSAT X–ray source. This suggests the presence of a high-temperature region in thesystem that could originate at or near a companion object. We undertook a spectroscopicmonitoring of FFCam since the beginning of 2012 and found an extremely variable Hαline proﬁle as well as periodically variable radial velocities of numerous absorption lines.The main conclusion from our study is that FFCam is a binary system with an orbitalperiod of 7.785 days, a B–type primary and a K–type secondary component. We discussthe spectral features, their variations, and the nature of FFCam.Key words: emission-line stars - circumstellar matter - binary systems 1. IntroductionFFCam = HD60062 is a fairly bright (V ∼7.5–8.0 mag) star not far fromthe North Celestial Pole (R.A. 7h 47m, Dec. +81"
3010365788,We have proposed and demonstrated the generation and coherent detection of 2 µm-band I/Q modulated signals for the first time using on-chip spectral translation. 6×32 Gbaud WDM-QPSK signals exhibit BERs below the 7% HD-FEC threshold. © 2020 The Author(s)
3010366108,"Acclimation of microbial communities, aiming to methane production from grass as a sole substrate at extremely high carbon-to-nitrogen (C/N) ratio, was conducted.nbsp In a series of experiments with various sizes of added grass, two microbial communities showing high methane production were obtained with powdered grass.nbsp In the two microbial communities designated NR and RP, Bacteroidia including genera Bacteroides, Dysgonomonas, Proteiniphilum, and Alistipes were detected as dominant members in eubacteria.nbsp It was also shown that Methanomicrobia and Methanobacteria including genera Methanomassiliicoccus and Methanobacterium were found as dominant members in methanogen.nbsp It is noteworthy that nitrogen fixation were observed both in NR and RP, suggesting that insufficiency of nitrogen sources would be complemented by uptake of nitrogen from gaseous phase in culture."
3010365702,"In order to improve the accuracy and reliability of the positioning and navigation system of the intelligent-motion objects in complex environment, and to solve the precision reduction problem of the integrated navigation system caused by the error accumulation of the visual odometry (VO) with motion and the inaccurate modeling of VO noise, an IMU/visual odometry integrated navigation method based on measurement model optimization is proposed. With Kalman filter as the framework, we constructs the state equation by the error recurrence model of strapdown inertial navigation system (SINS), and based on the characteristics of the relative pose output of VO, we consider VO as an angular velocity, line velocity and position sensor to construct the measurement equation. The method has been evaluated by KITTI odometry benchmark and the results indicate that comparing to traditional integration of position and attitudes, the measurement model of this method is more consistent with the noise characteristics of VO and thus can improve the accuracy and reliability of the integrated navigation system."
3010365725,"A precise modeling and an analysis on an artificial arm have a very significant role in the control action applications. The control activities are useful to identify the system performance and design requirements. The efforts have been made by the researchers to initiate different approaches to direct the best effective model. The state-space analysis has been introduced to analyze different control performances such as controllability, observability and stability testing of the standard artificial arm model after producing the closed loop representation by the simulation approach using Jury stability and Lyapunov stability analysis. The control action analysis shows the relevancy and the precision of the proposed mathematical model."
3010365928,"Buku ini membahas tentang syarat sahnya perikatan, sumber-sumber perikatan, batal dan pembatalan perikatan."
3010365878,"The internship was conducted at Amachi Ariffin Muliadi and Mardani PublicAccountant with the place of Accounting and audit division. During the internshipthe task that were done are input of beginning balance from previous year trialbalance, identification the parent and non-parent account, making journal withsupport of paskat program, making journal with support of excel program,vouching, input and recapitulate foreign currency account, calculate endingbalance for every account in statement of financial position and income statement,arrange worksheet, classification of audit working paper.During the internship, most of the tasks can be executed properly. Thereare some constraint found for examples there are limited time of performing jobfrom PT MP, and the difference between account number in program and in thecompany chart of account . To solve the problems, we should asking the otherstaff such as senior auditor."
3010365842,"Jasmonates (JAs), the group of lipid-derived hormones, were found to control the defense responses in a myriad of plants. Meaningfully, the macrolactones of 12-hydroxy jasmonate isoleucine (12OH-JA-Ile) were reported to induce the defensive response of wild tobacco. However, little to nothing has been known about the elicitation effect of JA-Ile-macrolactones on woody plants to harmful organisms, let alone its underlying mechanisms. Here, we first optimized the synthetic routine using mild toxic reagent isobutyl chloroformate instead of ethyl chloroformate for conjugation, and we used acetonitrile (MeCN) instead of ethyl alcohol for the better dissolution of p-toluenesulfonic acid (p-TsOH) to gain JA-Ile-macrolactones. JA-Ile-macrolactone 5b-treated tea plants significantly inhibited the larvae weight gain of Ectropis obliqua larvae and the lesions caused by Colletotrichum camelliae. Furthermore, the expression level of CsOPR3 was significantly upregulated in 5b-treated leaves. Meanwhile, 5b reduced the accumulation of eriodictyol 7-O-glucuronide (EDG) in tea plants, which was confirmed to promote the growth rate of E. obliqua larvae by artificial diet assay. In conclusion, our study proved that the exogenous application of 5b could induce the tea plant resistance both to herbivore E. obliqua and pathogen C. camelliae, and EDG was identified as one of the secondary metabolites that could influence the growth rate of E. obliqua, but it did not directly influence the infection of C. camelliae in vitro. Further research should be carried out to clarify the mechanism through which 5b induces tea plant resistance to C. camelliae."
3010366802,Observou-se a existencia de uma concepcao pouco abrangente sobre a Educacao Ambiental e dificuldades na implementacao da Educacao Ambiental na instituicao e pouco preparo dos docentes para o seu desenvolvimento.
3010365884,"Congress gives EPA authority to develop and implement federal stormwater regulations which must go through a rulemaking process. The process includes a proposal, public comment, and a final rule that must then be implemented and enforced."
3010366835,"This memo describes the Signed Public Key and Challenge (SPKAC), asyntax to provide Proof-of-Possession of a Public Key to supportfederated (client) certificate enrolment."
3010366833,AbstractThe increasing maturity of the Warn-on-Forecast System (WoFS) coupled with the now operational GOES-16 satellite allows for the first time a comprehensive analysis of the relative impacts o...
3010366781,"US acknowledging that it will protect British persons, property and interests in Italy as it had done in Germany."
